DATE,VALUE
1999-07-01,153.6
1999-08-01,96.4
1999-09-01,107.2
1999-10-01,114.0
1999-11-01,103.0
1999-12-01,51.0
2000-01-01,130.9
2000-02-01,147.1
2000-03-01,147.8
2000-04-01,149.6
2000-05-01,166.3
2000-06-01,159.1
2000-07-01,181.3
2000-08-01,123.9
2000-09-01,108.9
2000-10-01,94.1
2000-11-01,99.5
2000-12-01,31.7
2001-01-01,107.3
2001-02-01,131.8
2001-03-01,155.5
2001-04-01,150.0
2001-05-01,167.4
2001-06-01,131.5
2001-07-01,143.8
2001-08-01,135.9
2001-09-01,102.8
2001-10-01,88.7
2001-11-01,90.3
2001-12-01,40.2
2002-01-01,104.1
2002-02-01,128.1
2002-03-01,120.1
2002-04-01,165.0
2002-05-01,141.6
2002-06-01,160.4
2002-07-01,156.9
2002-08-01,126.0
2002-09-01,112.7
2002-10-01,97.0
2002-11-01,95.4
2002-12-01,53.8
2003-01-01,101.3
2003-02-01,116.4
2003-03-01,143.0
2003-04-01,176.2
2003-05-01,163.7
2003-06-01,196.0
2003-07-01,225.9
2003-08-01,180.9
2003-09-01,127.7
2003-10-01,100.2
2003-11-01,106.8
2003-12-01,54.3
2004-01-01,116.3
2004-02-01,151.0
2004-03-01,167.8
2004-04-01,169.2
2004-05-01,155.0
2004-06-01,157.4
2004-07-01,146.1
2004-08-01,102.6
2004-09-01,60.1
2004-10-01,73.1
2004-11-01,78.8
2004-12-01,49.3
2005-01-01,117.3
2005-02-01,131.1
2005-03-01,131.5
2005-04-01,179.7
2005-05-01,147.1
2005-06-01,169.5
2005-07-01,179.6
2005-08-01,119.7
2005-09-01,91.2
2005-10-01,73.0
2005-11-01,106.5
2005-12-01,65.0
2006-01-01,150.0
2006-02-01,147.9
2006-03-01,158.4
2006-04-01,155.2
2006-05-01,173.9
2006-06-01,141.6
2006-07-01,178.1
2006-08-01,138.7
2006-09-01,111.0
2006-10-01,77.6
2006-11-01,101.5
2006-12-01,56.7
2007-01-01,133.7
2007-02-01,153.5
2007-03-01,193.5
2007-04-01,198.9
2007-05-01,216.2
2007-06-01,216.5
2007-07-01,201.1
2007-08-01,139.7
2007-09-01,106.1
2007-10-01,80.9
2007-11-01,104.1
2007-12-01,37.8
2008-01-01,144.0
2008-02-01,164.9
2008-03-01,160.6
2008-04-01,215.5
2008-05-01,173.9
2008-06-01,197.3
2008-07-01,172.3
2008-08-01,101.6
2008-09-01,87.7
2008-10-01,59.5
2008-11-01,91.0
2008-12-01,40.9
2009-01-01,128.4
2009-02-01,128.8
2009-03-01,158.2
2009-04-01,184.3
2009-05-01,196.5
2009-06-01,186.7
2009-07-01,177.5
2009-08-01,123.1
2009-09-01,104.0
2009-10-01,64.3
2009-11-01,109.0
2009-12-01,62.7
2010-01-01,126.9
2010-02-01,156.9
2010-03-01,199.3
2010-04-01,191.0
2010-05-01,176.4
2010-06-01,185.7
2010-07-01,201.2
2010-08-01,161.8
2010-09-01,101.1
2010-10-01,55.1
2010-11-01,89.0
2010-12-01,59.6
2011-01-01,131.5
2011-02-01,145.8
2011-03-01,196.9
2011-04-01,191.4
2011-05-01,230.8
2011-06-01,196.5
2011-07-01,169.8
2011-08-01,81.2
2011-09-01,68.3
2011-10-01,41.4
2011-11-01,120.8
2011-12-01,79.1
2012-01-01,143.5
2012-02-01,148.8
2012-03-01,207.1
2012-04-01,177.9
2012-05-01,200.1
2012-06-01,173.2
2012-07-01,105.8
2012-08-01,58.6
2012-09-01,55.7
2012-10-01,32.1
2012-11-01,57.2
2012-12-01,31.5
2013-01-01,90.0
2013-02-01,107.6
2013-03-01,122.1
2013-04-01,136.3
2013-05-01,119.4
2013-06-01,110.6
2013-07-01,113.3
2013-08-01,94.6
2013-09-01,54.6
2013-10-01,28.4
2013-11-01,46.9
2013-12-01,26.3
2014-01-01,81.5
2014-02-01,110.6
2014-03-01,126.0
2014-04-01,143.1
2014-05-01,135.9
2014-06-01,126.0
2014-07-01,127.2
2014-08-01,62.2
2014-09-01,42.0
2014-10-01,35.1
2014-11-01,46.3
2014-12-01,35.6
2015-01-01,67.3
2015-02-01,83.0
2015-03-01,100.8
2015-04-01,98.9
2015-05-01,79.5
2015-06-01,90.9
2015-07-01,94.0
2015-08-01,69.2
2015-09-01,52.7
2015-10-01,38.9
2015-11-01,49.0
2015-12-01,22.8
2016-01-01,64.1
2016-02-01,81.7
2016-03-01,87.0
2016-04-01,97.2
2016-05-01,87.6
2016-06-01,91.7
2016-07-01,84.6
2016-08-01,59.4
2016-09-01,39.9
2016-10-01,37.1
2016-11-01,45.0
2016-12-01,29.8
2017-01-01,77.3
2017-02-01,86.5
2017-03-01,90.4
2017-04-01,90.3
2017-05-01,100.1
2017-06-01,96.0
2017-07-01,107.1
2017-08-01,75.4
2017-09-01,49.8
2017-10-01,30.1
2017-11-01,41.1
2017-12-01,20.5
2018-01-01,63.5
2018-02-01,75.4
2018-03-01,83.4
2018-04-01,78.7
2018-05-01,84.2
2018-06-01,89.7
2018-07-01,88.9
2018-08-01,78.4
2018-09-01,63.2
2018-10-01,43.5
2018-11-01,44.8
2018-12-01,29.0
2019-01-01,103.9
2019-02-01,112.0
2019-03-01,114.0
2019-04-01,114.1
2019-05-01,125.7
2019-06-01,105.9
2019-07-01,119.5
2019-08-01,110.9
2019-09-01,77.5
2019-10-01,66.6
2019-11-01,65.6
2019-12-01,37.8
2020-01-01,92.5
2020-02-01,112.1
2020-03-01,113.8
2020-04-01,109.3
2020-05-01,113.7
2020-06-01,134.4
2020-07-01,130.2
2020-08-01,86.3
2020-09-01,77.8
2020-10-01,53.0
2020-11-01,70.1
2020-12-01,49.3
2021-01-01,81.1
2021-02-01,93.0
2021-03-01,134.9
2021-04-01,132.9
2021-05-01,123.9
2021-06-01,132.9
2021-07-01,128.9
2021-08-01,117.2
2021-09-01,86.3
2021-10-01,52.2
2021-11-01,68.0
2021-12-01,48.1
2022-01-01,81.9
2022-02-01,106.1
2022-03-01,132.3
2022-04-01,115.5
2022-05-01,142.1
2022-06-01,130.6
2022-07-01,115.6
2022-08-01,105.7
2022-09-01,80.0
2022-10-01,56.7
2022-11-01,73.4
2022-12-01,43.3
2023-01-01,94.5
2023-02-01,108.5
2023-03-01,113.0
2023-04-01,117.3
2023-05-01,115.2
2023-06-01,126.8
2023-07-01,131.1
2023-08-01,116.3
2023-09-01,74.4
2023-10-01,49.9
2023-11-01,80.7
2023-12-01,48.1
2024-01-01,104.9
2024-02-01,99.7
2024-03-01,133.5
2024-04-01,129.8
2024-05-01,137.1
2024-06-01,135.2
2024-07-01,124.2
2024-08-01,98.1
2024-09-01,82.1
2024-10-01,43.3
2024-11-01,87.4
2024-12-01,53.3
2025-01-01,102.6
2025-02-01,111.3
2025-03-01,125.1
2025-04-01,122.4
2025-05-01,123.8
2025-06-01,122.1
2025-07-01,129.0
2025-08-01,102.6
2025-09-01,92.1
2025-10-01,60.9
2025-11-01,68.5
2025-12-01,54.0
2026-01-01,73.5
2026-02-01,106.2
2026-03-01,119.7
2026-04-01,126.6
2026-05-01,125.2
2026-06-01,131.9
